"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
"28634","SL","RANDALLSTOWN, MD","2","1/4/1991","7266","2981","ROYAL OAK FS & LA","27310","29154","FAILURE","PA","RTC"
"28767","SB","ATLANTA, GA","80646","1/4/1991","7373","2982","FULTON FEDERAL SAVINGS BANK","2016621","1380514","FAILURE","PA","RTC"
"29161","SL","PITTSBURGH, PA","96028","1/4/1991","7267","2983","FIRST FS & LA OF PITTSBURG","3089704","2343171","FAILURE","PA","RTC"
"29638","SL","SAN ANTONIO, TX","37685","1/4/1991","7262","2984","FIRST FEDERAL SAVINGS & LOAN","638622","472426","FAILURE","PA","RTC"
"30888","SL","NEWARK, NJ","7519","1/4/1991","7392","2985","TRIDENT FEDERAL S & L ASSOC.","47159","44159","FAILURE","PA","RTC"
"2545","N","HARTFORD, CT","151127","1/6/1991","4310","2986","THE CONNECTICUT BANK & TRUST CO","7210748","6860236","FAILURE","PA","BIF"
"2560","N","BOSTON, MA","572581","1/6/1991","4309","2987","BANK OF NEW ENGLAND, NATIONAL ASSOC","13428614","9406853","FAILURE","PA","BIF"
"4275","N","PORTLAND, ME","0","1/6/1991","4311","2988","MAINE NATIONAL BANK","1045658","944665","FAILURE","PA","BIF"
"26302","N","GLASTONBURY, CT","26647","1/11/1991","4312","2989","COMMUNITY NATIONAL BANK","85364","86936","FAILURE","PA","BIF"
"28292","SL","NEWPORT BEACH, CA","498684","1/11/1991","2188","2990","FAR WEST SAVINGS & LOAN","3714988","2981632","FAILURE","PI","RTC"
"31560","SL","HARTFORD, CT","3358","1/11/1991","2157","2991","CONNECTICUT SAVINGS AND LOAN","17375","13680","FAILURE","PA","RTC"
"32134","SL","COSTA MESA, CA","22127","1/11/1991","7366","2992","MALIBU SB","139117","122923","FAILURE","PA","RTC"
"30138","SL","PATERSON, NJ","25727","1/18/1991","2163","2993","IRVING SAVINGS & LOAN","222484","235827","FAILURE","PA","RTC"
"32332","SL","FOUNTAIN VALLEY, CA","110","1/18/1991","7358","2994","BEACH FEDERAL SAVINGS ASSOC.","81792","80703","FAILURE","PA","RTC"
"23221","N","RIO RANCHO, NM","10941","1/22/1991","4313","2995","AMERICAN BANK, NATIONAL ASSOCIATION","20712","23319","FAILURE","IDT","BIF"
"23461","N","FARMERS BRANCH, TX","15366","1/24/1991","4314","2996","METROPOLITAN NATIONAL BANK","97314","98491","FAILURE","PA","BIF"
"24568","NM","RICHMOND, CA","4323","1/25/1991","4315","2997","ALVARADO BANK","33480","32106","FAILURE","PA","BIF"
"30169","SL","CLIFTON, NJ","15290","1/25/1991","2106","2998","CENTER S & LA","132562","125372","FAILURE","PA","RTC"
"31062","SL","BEVERLY HILLS, CA","206275","1/25/1991","7439","2999","COLUMBIA SAVINGS & LOAN ASSN.","5358626","5645608","FAILURE","PO","RTC"
"31703","SB","TYSONS CORNER, VA","172842","1/25/1991","2195","3000","TRUSTBANK FSB","1823394","1509206","FAILURE","PI","RTC"
"32523","SL","CORAL SPRINGS, FL","4291","1/25/1991","7331","3001","CORAL S & LA","32197","31658","FAILURE","PA","RTC"
"16428","N","CHICAGO, IL","2626","1/29/1991","4316","3002","CITIZENS NATIONAL BANK AND TRUST","18776","19197","FAILURE","PA","BIF"
"20579","NM","AUSTIN, TX","35259","1/31/1991","4317","3003","BANK OF THE HILLS","255108","237750","FAILURE","PA","BIF"
"25815","N","ARANSAS COUNTY, TX","2997","1/31/1991","4318","3004","ROCKPORT BANK, NATIONAL ASSOCIATION","17796","18038","FAILURE","PA","BIF"
"11272","NM","NORWALK, CT","87535","2/1/1991","4319","3005","THE MERCHANTS BANK AND TRUST CO","269867","269021","FAILURE","PA","BIF"
"17721","SI","PORTLAND, ME","184197","2/1/1991","4320","3006","MAINE SAVINGS BANK","1182519","1191224","FAILURE","PA","BIF"
"29422","SL","TOLEDO, OH","38421","2/1/1991","2117","3007","FIRST FEDERAL SAVINGS OF TOLEDO","1022500","1016062","FAILURE","PA","RTC"
"31654","SB","RICHMOND, VA","210819","2/1/1991","2169","3008","COREAST FSB","1209981","993237","FAILURE","PI","RTC"
